workerid,condition,item,response,rt,stimulus,trial_index
50,moral,vignette,0,20630,"<p>Justin and Nate were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <p> Justin saw his decision as an easy one and was <i> able to decide quickly. He did not steal the money </i> and instead left the wallet with Customer Service.</p><p> In contrast, Nate saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p>",2
50,moral,manipulation_check_justin,7,6743,<p>How quickly did Justin make his decision?</p><br>,3
50,moral,manipulation_check_nate,1,2540,<p>How quickly did Nate make his decision?</p><br>,4
50,moral,justin-conflicted,7,5612,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin felt conflicted when making his decision?</p><br>,5
50,moral,justin-reservations,1,4347,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin had reservations when making his decision?</p><br>,6
50,moral,justin-certain,1,2699,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin felt certain in his decision?</p><br>,7
50,moral,justin-far,1,7828,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>How far do you think Justin was from choosing the alternate course of action?</p><br>,8
50,moral,justin-principles,7,4453,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin has good or bad moral principles?</p><br>,9
50,moral,justin-deep,7,5648,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think deep down Justin has the moral principles and knowledge to do the right thing?</p><br>,10
50,moral,justin-standards,7,2547,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin has good or bad moral standards?</p><br>,11
50,moral,justin-calm,7,4237,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>To what extent do you think Justin remained calm and emotionally contained when making his decision?</p><br>,12
50,moral,justin-upset,1,12910,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>To what extent do you think Justin became upset and acted without thinking?</p><br>,13
50,moral,nate-conflicted,1,18723,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate felt conflicted when making his decision?</p><br>,14
50,moral,nate-reservations,7,2265,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate had reservations when making his decision?</p><br>,15
50,moral,nate-certain,6,3400,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate felt certain in his decision?</p><br>,16
50,moral,nate-far,6,4320,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>How far do you think Nate was from choosing the alternate course of action?</p><br>,17
50,moral,nate-principles,4,4824,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate has good or bad moral principles?</p><br>,18
50,moral,nate-deep,4,3995,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think deep down Nate has the moral principles and knowledge to do the right thing?</p><br>,19
50,moral,nate-standards,4,3560,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate has good or bad moral standards?</p><br>,20
50,moral,nate-calm,3,4034,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>To what extent do you think Nate remained calm and emotionally contained when making his decision?</p><br>,21
50,moral,nate-upset,3,6038,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>To what extent do you think Nate became upset and acted without thinking?</p><br>,22
50,moral,manipulation_check_justin,7,13060,<p>How quickly did Justin make his decision?</p><br>,23
50,moral,manipulation_check_nate,1,3247,<p>How quickly did Nate make his decision?</p><br>,24
48,moral,vignette,0,19168,"<p>Justin and Nate were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <p> Justin saw his decision as an easy one and was <i> able to decide quickly. He did not steal the money </i> and instead left the wallet with Customer Service.</p><p> In contrast, Nate saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p>",2
48,moral,manipulation_check_justin,7,8509,<p>How quickly did Justin make his decision?</p><br>,3
48,moral,manipulation_check_nate,1,3976,<p>How quickly did Nate make his decision?</p><br>,4
48,moral,justin-conflicted,7,9160,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin felt conflicted when making his decision?</p><br>,5
48,moral,justin-reservations,1,4444,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin had reservations when making his decision?</p><br>,6
48,moral,justin-certain,1,4258,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin felt certain in his decision?</p><br>,7
48,moral,justin-far,1,6054,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>How far do you think Justin was from choosing the alternate course of action?</p><br>,8
48,moral,justin-principles,7,3028,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin has good or bad moral principles?</p><br>,9
48,moral,justin-deep,7,3478,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think deep down Justin has the moral principles and knowledge to do the right thing?</p><br>,10
48,moral,justin-standards,7,3454,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin has good or bad moral standards?</p><br>,11
48,moral,justin-calm,7,4405,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>To what extent do you think Justin remained calm and emotionally contained when making his decision?</p><br>,12
48,moral,justin-upset,1,3493,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>To what extent do you think Justin became upset and acted without thinking?</p><br>,13
48,moral,nate-conflicted,2,7103,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate felt conflicted when making his decision?</p><br>,14
48,moral,nate-reservations,6,4113,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate had reservations when making his decision?</p><br>,15
48,moral,nate-certain,6,5207,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate felt certain in his decision?</p><br>,16
48,moral,nate-far,6,5993,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>How far do you think Nate was from choosing the alternate course of action?</p><br>,17
48,moral,nate-principles,5,6439,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate has good or bad moral principles?</p><br>,18
48,moral,nate-deep,7,5175,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think deep down Nate has the moral principles and knowledge to do the right thing?</p><br>,19
48,moral,nate-standards,5,5174,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate has good or bad moral standards?</p><br>,20
48,moral,nate-calm,3,6276,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>To what extent do you think Nate remained calm and emotionally contained when making his decision?</p><br>,21
48,moral,nate-upset,2,7632,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>To what extent do you think Nate became upset and acted without thinking?</p><br>,22
48,moral,manipulation_check_justin,7,3297,<p>How quickly did Justin make his decision?</p><br>,23
48,moral,manipulation_check_nate,1,2418,<p>How quickly did Nate make his decision?</p><br>,24
36,moral,vignette,0,7515,"<p>Justin and Nate were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <p> Justin saw his decision as an easy one and was <i> able to decide quickly. He did not steal the money </i> and instead left the wallet with Customer Service.</p><p> In contrast, Nate saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p>",2
36,moral,manipulation_check_justin,7,2263,<p>How quickly did Justin make his decision?</p><br>,3
36,moral,manipulation_check_nate,1,2266,<p>How quickly did Nate make his decision?</p><br>,4
36,moral,justin-conflicted,7,3732,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin felt conflicted when making his decision?</p><br>,5
36,moral,justin-reservations,1,3298,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin had reservations when making his decision?</p><br>,6
36,moral,justin-certain,1,2598,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin felt certain in his decision?</p><br>,7
36,moral,justin-far,1,4114,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>How far do you think Justin was from choosing the alternate course of action?</p><br>,8
36,moral,justin-principles,7,2498,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin has good or bad moral principles?</p><br>,9
36,moral,justin-deep,7,5414,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think deep down Justin has the moral principles and knowledge to do the right thing?</p><br>,10
36,moral,justin-standards,7,4182,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin has good or bad moral standards?</p><br>,11
36,moral,justin-calm,7,3365,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>To what extent do you think Justin remained calm and emotionally contained when making his decision?</p><br>,12
36,moral,justin-upset,1,3515,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>To what extent do you think Justin became upset and acted without thinking?</p><br>,13
